start	end	text
0	16000	Добрый день, коллеги, наступил 11 часов в время нашей встречи. Я предлагаю подождать еще пару минут те, кто еще подключается к обинару и начнем уже задержательную часть.
16000	18000	Благодарю за внимание.
19000	23000	И давайте будем начинать. Скажите, пожалуйста, мне слышно.
33000	34000	Отлично.
35000	41000	Меня зовут Афонина Наталья. Я рада приветствовать всех на нашем мероприятии.
41000	53000	Я очень надеюсь, что та информация, которую мы вам сейчас предложим для внимания, будет вам полезно, практически деятельности написания и локальных объектов банка.
53000	58000	И атактации для работы на платформе тебя.
59000	72000	Немного напомню и виду в контексте, если кто-то первый раз присутствует на нашей встречи, почему мы создали платформу на тебя.
73000	94000	По сути дела, это ответ требуем наших регуляторов о том, что банки, как критичные ветры, критическая информационная инстраструктура, должны использовать ПО, отечественных производителей, либо открытая по осоткрытым кодам.
95000	106000	И данное требование регулируется с первой ныря 20-го года. И то было решение еще нет, но как бы по-тенциально, мы следы на эту дату ориентируемся и смотрим.
109000	122000	Мы выбрали в качестве альтернативы урокло по отгоре, потому что именно эта сугубя отвечает всем тем требованием, которые выдвинуть регуляторами.
122000	131000	То есть, есть подбре эскуэль, это свободно распространяемая лиционная суббеда с предым кодом.
131000	145000	И есть подбре про – это коммерский продукт, который предоставляет российское компание, подбре спрофессионал, который включена резцер-рохистого кову.
146000	159000	Соответственно, именно сюда мы смотрим на текущий момент, и видим для себя следующую эволюцию программного продукта Цепанк.
160000	172000	С первым шагом мы хотим, чтобы наш по-оработало на подчодомских особенностей, архитектуры, дебяй на урокле и на три-один.
172000	186000	То есть, по сути, дело прикладную код должен быть адаптирован к дебяй, но использоваться может использоваться и проигрываться, собственно говоря, на урокле три-один.
186000	197000	Следующим шагом – это перевод на платформу дебяй на урокле. То есть, что там всех немходимо, изменений и так далее.
198000	219000	И уже потребованю регулятора – перевод банков или пожеланию банка, тут, как бы вопрос, взаимодешаемый, перевод системы Цепанк на поврошу в Куэль и на платформе дебяй.
219000	226000	Соответственно, вот на этом пути нам надо с вами совместно сделать достаточно большой объем работ.
226000	246000	И когда мы начали переводить действительно пархитектуры дебяй, скажем так, мы получили некоторые расхождения использования системы на урокле и на позбре.
247000	266000	Соответственно, были разработаны методические рекомендации по адертации локального кода, о которых сейчас вам расскажет ведущий системный архитектор отдела анализаэкспертизы Валерий Копли.
267000	272000	А я благодарю вас за внимание и передаю слово Валерию.
273000	300000	И еще небольшую ремарку сделаю связанную с тем, что система материала, которая будут представлены на этом обинаре, презентации ответы на вопросы, мы выложим стандартным порядком на обинаре.
